40
1  21  1538448744.447639
1871.025039 2484.322483 2.297763
1  1901.184200 2500.061405 1.040000  2.367996 4.371910 1.617000  -0.838985
2  1915.624776 2467.054462 1.443000  2.103700 4.364636 1.756000  -0.988809
3  1842.428489 2537.813889 -0.551000  1.964666 5.999909 1.998000  -0.857128
4  1869.848168 2475.823782 1.039000  0.793567 0.790934 1.715000  2.267213
5  1866.262735 2480.889060 0.817000  0.782451 0.685648 1.658000  2.251518
6  1904.183739 2453.596228 2.215000  2.178071 4.452135 1.578000  2.302888
7  1855.720661 2493.126005 0.267000  0.799243 0.768019 1.658000  2.239221
8  1886.822338 2454.994561 1.962000  1.700068 0.519412 0.994000  0.796016
9  1917.862973 2509.618871 1.590000  2.924474 6.004913 2.217000  -1.909300
10  1913.604668 2504.325056 1.590000  3.198146 6.631724 2.217000  -1.888979
11  1873.421439 2506.369895 1.517000  2.748887 12.942138 4.581000  -0.811008
12  1897.530431 2456.209072 2.158000  2.183660 4.438856 1.754000  2.334389
13  1856.735669 2517.806802 -0.357000  1.568476 4.504782 1.474000  -0.876374
14  1877.429146 2506.637091 0.051000  1.939889 4.255244 1.704000  -0.796106
15  1922.521795 2505.439344 1.421000  1.846309 4.429338 1.591000  -1.112791
16  1868.312435 2505.958289 0.112000  2.046514 4.444719 1.527000  -0.866618
17  1909.593391 2491.561732 1.248000  1.896214 4.509391 1.865000  -0.786783
18  1930.309163 2426.335113 3.229000  2.218058 3.669547 1.627000  2.444333
19  1860.217866 2488.089010 0.617000  0.819625 0.669012 1.658000  2.208162
20  1859.277863 2487.594921 0.477000  0.763716 0.779350 1.658000  2.342756
21  1909.909038 2511.385989 0.965000  2.884837 5.917833 2.000000  -2.032417

2  22  1538448745.047596
1866.007521 2490.110455 2.283708
1  1901.767920 2500.030730 1.240000  2.040458 4.255860 1.617000  -0.834769
2  1920.912535 2460.624484 2.043000  2.057802 5.430911 1.756000  -0.763544
3  1847.295946 2533.635729 -0.252000  1.999875 5.799830 1.998000  -0.807235
4  1869.065772 2476.510714 1.389000  0.831174 0.779361 1.715000  2.329691
5  1866.020792 2481.627112 1.031000  0.673437 0.704034 1.658000  2.290411
6  1897.679923 2460.504437 2.156000  2.013404 4.662365 1.578000  2.296496
7  1854.975803 2493.402411 0.467000  0.904472 0.850342 1.658000  2.202089
8  1808.587814 2559.910525 -0.854000  1.946732 5.036005 2.124000  2.024161
9  1887.257836 2454.443488 2.234000  1.862495 0.683039 0.994000  0.821933
10  1834.870233 2531.289262 -0.600000  2.040193 4.686910 1.626000  2.267993
11  1875.963935 2503.696565 1.833000  3.047213 12.752033 4.581000  -0.763446
12  1892.335183 2461.585681 2.146000  2.148655 4.398513 1.754000  2.375980
13  1862.494289 2511.535771 0.166000  1.562155 4.378120 1.474000  -0.868174
14  1873.450006 2514.743228 1.315000  0.458097 0.548118 2.000000  2.499241
15  1877.302269 2506.860323 0.294000  1.621179 4.378928 1.704000  -0.724280
16  1872.753576 2500.994393 0.496000  2.154812 4.432842 1.527000  -0.753540
17  1814.345423 2565.971487 -0.995000  0.993501 4.358302 1.800000  -1.641876
18  1925.270976 2432.881896 3.240000  2.182061 4.837443 1.627000  2.323836
19  1860.191780 2489.235210 0.667000  0.896274 0.810838 1.658000  2.268366
20  1858.706263 2488.427322 0.717000  0.795141 0.721632 1.658000  2.238026
21  1862.648431 2530.152317 -0.402000  0.364201 0.390197 1.784000  2.414878
22  1819.102612 2551.693911 -0.579000  2.585136 4.214675 1.794000  2.414824

3  21  1538448745.547460
1861.845227 2495.029090 2.275284
1  1901.264449 2499.792398 1.407000  1.882365 4.322695 1.617000  -0.728138
2  1851.702717 2529.140039 0.148000  2.199042 5.581544 1.998000  -0.859463
3  1868.654458 2477.414363 1.530000  0.968460 0.624737 1.715000  2.249281
4  1865.054202 2482.396048 1.210000  0.799557 0.881191 1.658000  2.277429
5  1892.661890 2465.446960 2.107000  1.995521 4.133809 1.578000  2.306794
6  1854.456704 2493.967003 0.634000  0.795137 0.729962 1.658000  2.214737
7  1803.713752 2563.683043 -0.725000  1.814967 5.029520 2.124000  2.513257
8  1886.898713 2454.853338 2.268000  1.981595 0.487964 0.994000  0.697607
9  1831.489024 2534.151371 -0.475000  2.022171 4.596665 1.626000  2.274119
10  1879.005348 2501.363081 2.095000  2.658296 12.959426 4.581000  -0.740807
11  1887.645536 2465.939397 2.137000  1.864358 4.235916 1.754000  2.294058
12  1867.348619 2506.512002 0.450000  1.773579 4.556791 1.474000  -0.820650
13  1872.598838 2515.484673 1.315000  0.594038 0.293557 2.000000  2.455487
14  1877.496166 2506.793755 0.497000  2.052283 4.348643 1.704000  -0.624390
15  1877.173021 2497.257945 0.808000  1.829203 4.446450 1.527000  -0.738798
16  1811.289618 2565.971595 -0.745000  2.038964 4.514018 1.800000  -1.485848
17  1917.333794 2439.865994 3.250000  2.425703 4.301852 1.627000  2.235018
18  1859.043640 2489.753927 0.855000  0.791321 0.669389 1.658000  2.282066
19  1858.416645 2488.905542 0.917000  0.909339 0.776205 1.658000  2.255620
20  1862.021132 2530.652316 -0.206000  0.572103 0.443684 1.784000  2.391753
21  1818.395310 2552.340146 -0.479000  1.512652 4.635241 1.794000  2.219998

4  23  1538448746.047898
1857.672347 2500.000981 2.275335
1  1902.303208 2499.972534 1.574000  2.139680 4.626340 1.617000  -0.847738
2  1856.293928 2524.126429 0.447000  2.025031 5.820998 1.998000  -0.834492
3  1868.257405 2477.704288 1.722000  0.897470 0.738786 1.715000  2.308438
4  1817.880931 2540.642278 0.058000  0.328599 2.148333 1.619000  2.829317
5  1865.101823 2483.078666 1.389000  0.879079 0.617660 1.658000  2.287231
6  1886.922418 2471.193145 2.057000  1.842879 4.371045 1.578000  2.186901
7  1853.925634 2494.545247 0.801000  0.746157 0.913902 1.658000  2.300015
8  1852.253920 2564.427568 -0.443000  1.465885 4.180390 1.816000  2.777579
9  1800.512912 2567.007675 -0.596000  1.952172 5.211369 2.124000  2.375069
10  1887.117706 2455.009837 2.301000  1.863424 0.850143 0.994000  0.736875
11  1828.622784 2539.867686 -0.350000  1.931097 4.559369 1.626000  2.244408
12  1882.592578 2499.429045 2.408000  2.933901 12.929496 4.581000  -0.612879
13  1883.475625 2470.308224 2.128000  1.929666 4.471022 1.754000  2.177224
14  1871.386338 2502.077334 0.904000  1.776596 4.466455 1.474000  -0.855067
15  1872.224898 2516.097149 1.315000  0.538724 0.300889 2.000000  2.469383
16  1877.239055 2506.462309 0.700000  1.680516 4.311353 1.704000  -0.540692
17  1881.089995 2493.976830 1.271000  1.962829 4.418751 1.527000  -0.742070
18  1812.609175 2565.969939 -0.577000  2.217454 4.366976 1.800000  -1.496284
19  1911.757783 2444.990544 3.259000  2.270717 4.189272 1.627000  2.410594
20  1858.132841 2490.682606 1.042000  0.701477 0.714850 1.658000  2.282910
21  1857.885093 2489.832897 1.117000  0.871413 0.723114 1.658000  2.193582
22  1861.682369 2530.714833 -0.009000  0.202378 0.284382 1.784000  2.377375
23  1812.980181 2556.715161 -0.279000  2.364481 4.828258 1.794000  2.147513

5  23  1538448746.548329
1853.526857 2504.938821 2.274143
1  1901.571931 2500.360848 1.741000  2.101114 4.160572 1.617000  -0.785069
2  1859.783035 2519.505058 0.647000  2.046672 5.674899 1.998000  -0.939409
3  1867.609665 2478.000296 1.939000  0.854560 0.850295 1.715000  2.274305
4  1816.641507 2540.216139 0.173000  0.671308 2.230425 1.619000  2.799555
5  1864.293500 2483.355213 1.567000  0.661963 0.753629 1.658000  2.303670
6  1811.548054 2575.302052 -0.473000  2.688646 4.645719 1.592000  -1.023980
7  1882.236987 2476.353880 2.008000  1.627959 4.522693 1.578000  2.249563
8  1853.917271 2495.511656 0.968000  0.892615 0.627844 1.658000  2.238407
9  1851.744522 2562.444984 -0.743000  2.145453 4.198859 1.816000  2.670201
10  1798.100765 2572.625753 -0.433000  0.739766 5.142317 2.124000  2.124038
11  1823.908907 2545.161111 -0.226000  1.801330 4.968531 1.626000  2.175413
12  1884.397610 2498.060099 2.721000  2.997412 12.955048 4.581000  -0.547629
13  1879.247019 2475.197958 2.118000  1.971675 4.398455 1.754000  2.195618
14  1875.569946 2497.932377 1.282000  1.767820 4.448398 1.474000  -0.834129
15  1871.745913 2517.168110 1.315000  0.454173 0.427204 2.000000  2.531427
16  1877.726046 2506.872925 0.903000  1.840047 4.300231 1.704000  -0.588962
17  1884.180467 2490.778737 1.583000  1.822152 4.552836 1.527000  -0.670725
18  1814.012966 2564.901285 -0.408000  2.470999 5.110913 1.800000  -1.461223
19  1905.825094 2451.319345 3.159000  2.155784 3.602503 1.627000  2.413615
20  1857.873740 2491.590311 1.230000  0.834182 0.843659 1.658000  2.263606
21  1857.233509 2490.361180 1.317000  0.658749 0.692397 1.658000  2.259825
22  1860.560910 2531.655963 0.187000  0.438676 0.459475 1.784000  2.425094
23  1807.907319 2563.019683 -0.154000  1.878374 4.340211 1.794000  2.230326

6  22  1538448747.047643
1849.483235 2509.788658 2.275296
