41
1 40 1538984233.547259
1  1  695.325000 1800.564000 0.665000 1.862000 4.923000 1.588000 0.754453
2  1  683.188000 1784.527000 0.034000 1.743000 4.980000 1.689000 0.740630
3  1  702.876000 1809.858000 0.826000 1.955000 5.104000 1.645000 -2.390281
4  0  707.223000 1782.619000 0.876000 0.583000 0.485000 1.680000 2.251632
5  1  695.915000 1817.062000 1.283000 2.011000 5.159000 1.979000 -2.355252
6  1  694.290000 1790.396000 0.262000 1.694000 4.594000 1.489000 -2.385568
7  0  710.538000 1782.886000 0.848000 0.636000 0.580000 1.697000 2.164365
8  1  667.887000 1818.105000 1.613000 1.696000 4.983000 1.604000 -2.337362
9  1  738.181000 1805.834000 0.944000 0.550000 1.833000 1.210000 -0.359241
10  0  712.545000 1784.764000 0.867000 0.636000 0.580000 1.281000 2.164365
11  2  733.752000 1815.049000 0.783000 4.739000 1.338000 1.401000 0.705741
12  1  687.031000 1809.645000 1.399000 1.854000 5.019000 2.000000 0.771593
13  1  700.809000 1811.906000 1.000000 2.168000 5.001000 1.831000 -2.390281
14  1  699.297000 1813.671000 0.982000 2.006000 4.765000 1.548000 -2.390281
15  1  688.672000 1779.708000 -0.393000 1.598000 4.304000 1.485000 -2.331149
16  1  706.048000 1806.880000 1.449000 2.291000 5.791000 2.981000 -2.389967
17  0  713.740000 1784.123000 0.956000 0.636000 0.580000 1.785000 2.164365
18  0  725.902000 1791.918000 0.805000 0.834000 1.128000 1.632000 -2.612095
19  0  694.425000 1781.052000 0.301000 0.734000 0.817000 1.807000 -0.359590
20  0  711.208000 1784.920000 1.045000 0.636000 0.864000 1.837000 -2.584258
21  0  713.041000 1785.085000 0.717000 0.636000 0.580000 1.281000 2.216725
22  1  737.946000 1804.955000 0.907000 0.550000 1.833000 1.137000 -0.755865
23  0  712.495000 1783.739000 1.106000 0.636000 0.580000 1.785000 2.164365
24  0  711.488000 1784.329000 0.972000 0.636000 0.580000 1.826000 2.164365
25  0  719.793000 1818.052000 1.145000 0.451000 0.894000 1.695000 -0.873223
26  1  675.036000 1821.901000 1.843000 1.935000 4.494000 1.537000 -2.306679
27  0  706.833000 1781.278000 1.093000 0.646000 0.553000 1.737000 0.753613
28  0  710.940000 1784.138000 0.925000 0.636000 0.580000 1.697000 2.164365
29  0  709.081000 1782.963000 0.937000 0.636000 0.580000 1.697000 2.164365
30  0  717.643000 1792.230000 0.798000 0.674000 0.883000 1.780000 -2.421784
31  0  710.195000 1783.901000 1.049000 0.636000 0.580000 1.697000 0.662055
32  1  697.535000 1815.170000 1.019000 1.891000 5.048000 1.513000 -2.372827
33  1  686.716000 1781.036000 -0.203000 1.540000 4.031000 1.568000 0.775537
34  0  731.902000 1797.509000 1.022000 0.870000 1.189000 1.889000 2.809369
35  0  717.637000 1791.286000 0.785000 0.674000 0.883000 1.829000 -2.936658
36  0  708.507000 1831.484000 1.401000 0.509000 0.466000 1.725000 -0.865509
37  0  723.074000 1814.214000 1.190000 0.490000 0.768000 1.846000 -0.896296
38  1  697.095000 1799.148000 0.607000 1.771000 4.268000 1.643000 0.746442
39  1  702.769000 1825.735000 1.595000 2.883000 12.086000 3.419000 -0.713875
40  1  690.958000 1793.924000 0.427000 1.672000 4.478000 1.597000 -2.385568

2 44 1538984234.047134
1  1  695.307000 1800.632000 0.615000 1.862000 4.923000 1.588000 0.754453
2  1  683.196000 1784.503000 0.013000 1.743000 4.980000 1.689000 0.740630
3  1  702.826000 1809.912000 0.826000 1.955000 5.104000 1.645000 -2.390281
4  0  707.197000 1782.652000 0.876000 0.583000 0.485000 1.680000 2.251632
5  1  695.915000 1817.062000 1.290000 2.011000 5.159000 1.979000 -2.355252
6  1  694.266000 1790.387000 0.236000 1.694000 4.594000 1.489000 -2.385568
7  0  710.522000 1782.886000 0.868000 0.636000 0.580000 1.697000 2.164365
8  1  667.873000 1818.085000 1.600000 1.696000 4.983000 1.604000 -2.335582
9  1  738.181000 1805.834000 0.919000 0.550000 1.833000 1.210000 -0.359241
10  0  712.545000 1784.764000 0.867000 0.636000 0.580000 1.281000 2.164365
11  2  733.742000 1815.054000 0.795000 4.739000 1.338000 1.401000 0.705741
41  1  700.921000 1774.193000 0.319000 0.725000 2.612000 1.526000 0.759602
12  1  686.907000 1809.524000 1.394000 1.854000 5.019000 2.000000 0.771593
13  1  700.809000 1811.906000 1.016000 2.168000 5.001000 1.831000 -2.390281
14  1  699.297000 1813.671000 0.999000 2.006000 4.765000 1.548000 -2.390281
15  1  688.650000 1779.654000 -0.335000 1.598000 4.304000 1.485000 -2.334158
16  1  706.045000 1806.882000 1.469000 2.291000 5.791000 2.981000 -2.388604
17  0  713.740000 1784.123000 1.010000 0.636000 0.580000 1.785000 2.164365
18  0  725.253000 1791.375000 0.855000 0.834000 1.128000 1.632000 -2.716814
19  0  695.015000 1780.803000 0.340000 0.734000 0.817000 1.807000 -0.364491
20  0  711.208000 1784.920000 1.070000 0.636000 0.864000 1.837000 -2.584258
21  0  713.041000 1785.085000 0.767000 0.636000 0.580000 1.281000 2.216725
22  1  737.946000 1804.955000 0.857000 0.550000 1.833000 1.137000 -0.755865
23  0  712.495000 1783.739000 1.106000 0.636000 0.580000 1.785000 2.164365
24  0  711.488000 1784.329000 0.999000 0.636000 0.580000 1.826000 2.164365
25  0  720.246000 1817.505000 1.171000 0.451000 0.894000 1.695000 -0.868633
42  0  708.598000 1781.030000 0.994000 0.646000 0.553000 1.725000 2.356352
26  1  675.013000 1821.922000 1.793000 1.935000 4.494000 1.537000 -2.306679
27  0  706.843000 1781.356000 1.110000 0.646000 0.553000 1.737000 0.753613
28  0  710.901000 1784.112000 0.978000 0.636000 0.580000 1.697000 2.164365
29  0  709.054000 1783.001000 1.008000 0.636000 0.580000 1.697000 2.164365
30  0  717.053000 1791.706000 0.845000 0.674000 0.883000 1.780000 -2.404340
31  0  710.195000 1783.901000 1.049000 0.636000 0.580000 1.697000 0.662055
32  1  697.535000 1815.170000 1.036000 1.891000 5.048000 1.513000 -2.372827
43  1  704.398000 1779.280000 0.702000 0.557000 1.667000 1.339000 -2.366143
33  1  686.704000 1781.011000 -0.153000 1.540000 4.031000 1.568000 0.771902
34  0  731.902000 1797.509000 1.041000 0.870000 1.189000 1.889000 2.809369
35  0  717.094000 1790.753000 0.830000 0.674000 0.883000 1.829000 -2.936658
36  0  708.879000 1831.017000 1.401000 0.509000 0.466000 1.725000 -0.865509
37  0  723.503000 1813.647000 1.190000 0.490000 0.768000 1.846000 -0.931184
44  1  703.626000 1779.737000 0.786000 0.572000 1.961000 1.289000 0.776474
38  1  697.116000 1799.168000 0.607000 1.771000 4.268000 1.643000 0.746442
39  1  704.793000 1823.982000 1.595000 2.883000 12.086000 3.419000 -0.713875
40  1  690.934000 1793.918000 0.466000 1.672000 4.478000 1.597000 -2.388577

3 49 1538984234.547551
1  1  695.262000 1800.632000 0.665000 1.862000 4.923000 1.588000 0.754453
2  1  683.204000 1784.479000 -0.008000 1.743000 4.980000 1.689000 0.740630
45  1  693.692000 1802.434000 0.731000 1.807000 4.750000 1.450000 0.760719
3  1  702.828000 1809.909000 0.852000 1.955000 5.104000 1.645000 -2.390281
4  0  707.170000 1782.685000 0.876000 0.583000 0.485000 1.680000 2.251632
5  1  695.915000 1817.062000 1.297000 2.011000 5.159000 1.979000 -2.355252
6  1  694.242000 1790.378000 0.211000 1.694000 4.594000 1.489000 -2.385568
7  0  710.507000 1782.886000 0.889000 0.636000 0.580000 1.697000 2.164365
46  1  699.018000 1776.739000 -0.227000 0.506000 1.880000 1.205000 -2.394208
8  1  667.858000 1818.065000 1.588000 1.696000 4.983000 1.604000 -2.333800
9  1  738.181000 1805.834000 0.894000 0.550000 1.833000 1.210000 -0.359241
47  1  667.980000 1828.792000 2.145000 1.859000 4.434000 1.504000 0.817460
48  1  692.330000 1820.638000 1.377000 1.810000 4.556000 1.485000 -2.355252
10  0  712.545000 1784.764000 0.867000 0.636000 0.580000 1.281000 2.164365
11  2  733.733000 1815.060000 0.806000 4.739000 1.338000 1.401000 0.705741
41  1  700.909000 1774.182000 0.329000 0.725000 2.612000 1.526000 0.762836
12  1  686.783000 1809.404000 1.388000 1.854000 5.019000 2.000000 0.771593
13  1  700.809000 1811.906000 1.032000 2.168000 5.001000 1.831000 -2.390281
14  1  699.297000 1813.671000 1.016000 2.006000 4.765000 1.548000 -2.390281
15  1  688.628000 1779.600000 -0.278000 1.598000 4.304000 1.485000 -2.337170
16  1  706.043000 1806.884000 1.488000 2.291000 5.791000 2.981000 -2.387239
17  0  713.740000 1784.123000 1.064000 0.636000 0.580000 1.785000 2.164365
18  0  724.648000 1791.076000 0.905000 0.834000 1.128000 1.632000 -2.751721
19  0  695.605000 1780.553000 0.380000 0.734000 0.817000 1.807000 -0.369398
20  0  711.208000 1784.920000 1.095000 0.636000 0.864000 1.837000 -2.584258
21  0  713.041000 1785.085000 0.784000 0.636000 0.580000 1.281000 2.216725
22  1  737.946000 1804.955000 0.807000 0.550000 1.833000 1.137000 -0.755865
23  0  712.495000 1783.739000 1.106000 0.636000 0.580000 1.785000 2.164365
24  0  711.488000 1784.329000 1.025000 0.636000 0.580000 1.826000 2.164365
25  0  720.699000 1816.957000 1.198000 0.451000 0.894000 1.695000 -0.864037
42  0  708.675000 1780.954000 0.997000 0.646000 0.553000 1.725000 2.356352
26  1  675.013000 1821.922000 1.788000 1.935000 4.494000 1.537000 -2.306679
27  0  706.853000 1781.434000 1.128000 0.646000 0.553000 1.737000 0.753613
49  1  682.759000 1802.567000 0.875000 1.801000 4.766000 1.635000 -2.350470
28  0  710.862000 1784.085000 1.032000 0.636000 0.580000 1.697000 2.164365
29  0  709.028000 1783.040000 1.080000 0.636000 0.580000 1.697000 2.164365
30  0  716.463000 1791.182000 0.892000 0.674000 0.883000 1.780000 -2.386877
31  0  710.195000 1783.901000 1.049000 0.636000 0.580000 1.697000 0.662055
32  1  697.535000 1815.170000 1.053000 1.891000 5.048000 1.513000 -2.372827
43  1  704.398000 1779.280000 0.652000 0.557000 1.667000 1.339000 -2.366143
33  1  686.693000 1780.986000 -0.103000 1.540000 4.031000 1.568000 0.768262
34  0  731.902000 1797.509000 1.059000 0.870000 1.189000 1.889000 2.809369
35  0  716.550000 1790.219000 0.874000 0.674000 0.883000 1.829000 -2.936658
36  0  709.250000 1830.549000 1.401000 0.509000 0.466000 1.725000 -0.865509
37  0  723.912000 1813.065000 1.190000 0.490000 0.768000 1.846000 -0.966110
44  1  703.626000 1779.737000 0.786000 0.572000 1.961000 1.289000 0.776474
38  1  697.116000 1799.168000 0.607000 1.771000 4.268000 1.643000 0.746442
39  1  706.820000 1822.227000 1.595000 2.883000 12.086000 3.419000 -0.713875
40  1  690.910000 1793.911000 0.506000 1.672000 4.478000 1.597000 -2.391589

4 52 1538984234.947904
