39
1.70079  0.0159456  1.51096  0.499802  -0.503032  0.49978  -0.497371
1266.42  816.267  1266.42  491.507  
1 7 1532402927.612460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg
411.419986 1181.197176 -1.923701
1 999 481 76 65 1
2 44 197 583 481 1
3 896 485 61 51 1
4 1353 484 112 33 1
5 831 476 12 31 0
6 981 461 54 62 1
7 719 454 74 69 1

2 7 1532402928.112460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg
409.850669 1176.970211 -1.918271
1 1033 474 86 67 1
2 69 -35 487 919 1
3 907 485 62 46 1
4 1397 483 121 44 1
5 846 468 17 30 0
6 1001 463 64 61 1
7 711 466 82 80 1

3 8 1532402928.662460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg
408.210557 1172.446700 -1.911090
1 1078 485 113 88 1
2 92 226 346 444 1
3 781 473 22 37 0
4 926 481 49 50 1
5 1457 484 138 45 1
6 866 479 26 46 0
7 1039 461 74 72 1
8 715 470 73 87 1

4 8 1532402929.162460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402929162460.jpg
406.820103 1168.482430 -1.900203
1 1131 488 145 105 1
2 795 471 18 42 0
3 943 479 54 40 1
4 1526 472 27 42 1
5 837 476 20 52 0
6 864 471 28 40 0
7 1055 465 79 72 1
8 711 466 84 90 1

5 9 1532402929.662460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402929662460.jpg
405.503498 1164.631341 -1.895776
1 1175 476 180 111 1
2 793 467 24 42 0
3 960 488 45 45 1
4 1597 481 24 53 1
5 844 478 16 56 0
6 883 470 30 52 0
7 1086 462 83 81 1
8 822 466 23 59 0
9 702 460 93 96 1

6 7 1532402930.112460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402930112460.jpg
404.374813 1161.337829 -1.889635
1 1223 478 204 127 1
2 804 467 31 43 0
3 844 465 28 53 0
4 908 472 25 61 0
5 1123 462 68 78 1
6 835 475 27 58 0
7 689 466 103 100 1

7 7 1532402930.612460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402930612460.jpg
403.198850 1157.775932 -1.881738
1 1282 469 242 145 1
2 811 479 25 58 0
3 862 477 27 54 0
4 921 475 29 65 0
5 1171 462 72 90 1
6 822 458 30 51 0
7 653 458 118 104 1

8 7 1532402931.162460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402931162460.jpg
401.962368 1153.971682 -1.876371
1 1324 473 288 162 1
2 819 473 23 64 0
3 870 468 23 64 0
4 928 478 36 72 0
5 1225 461 82 88 1
6 845 456 19 74 0
7 627 450 140 108 1

9 7 1532402931.662460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402931662460.jpg
400.912255 1150.631061 -1.867256
1 1379 478 135 158 1
2 839 474 33 62 0
3 889 468 28 64 0
4 964 468 46 89 0
5 1298 452 104 91 1
6 864 463 33 79 0
7 570 457 159 119 1

10 8 1532402932.162460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402932162460.jpg
399.911461 1147.400935 -1.859698
1 1427 471 135 160 1
2 847 470 46 72 0
3 697 484 29 78 0
4 908 469 42 87 0
5 991 470 57 103 0
6 1389 449 118 90 1
7 882 459 37 83 0
8 512 457 174 134 1

11 8 1532402932.612460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402932612460.jpg
399.082116 1144.615250 -1.849258
1 1473 473 155 162 1
2 874 468 39 75 0
3 691 466 42 92 0
4 934 465 33 90 0
5 1026 468 67 107 0
6 1506 456 133 103 1
7 906 456 31 84 0
8 443 452 197 148 1

12 6 1532402933.112460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402933112460.jpg
398.223095 1141.576732 -1.827075
1 911 471 39 87 0
2 704 467 51 103 0
3 979 456 45 96 0
4 1108 473 77 134 0
5 952 457 53 95 0
6 386 456 229 158 1

13 6 1532402933.612460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402933612460.jpg
397.491262 1138.661434 -1.790581
1 987 472 42 92 0
2 736 474 57 119 0
3 1056 454 36 110 0
4 1210 464 104 155 0
5 1016 455 46 103 0
6 319 441 249 177 1

14 6 1532402934.112460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402934112460.jpg
396.917178 1135.839791 -1.744071
1 1089 463 52 105 0
2 799 464 65 137 0
3 1168 456 54 121 0
4 1403 462 139 200 0
5 1127 443 53 116 0
6 266 443 283 189 1

15 5 1532402934.662484
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402934662484.jpg
396.464210 1132.807546 -1.673733
1 1246 452 50 120 0
2 908 452 78 176 0
3 1337 462 60 141 0
4 1301 442 56 136 0
5 200 434 316 221 1

16 5 1532402935.162463
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402935162463.jpg
396.289693 1130.234614 -1.586430
1 1469 455 65 155 0
2 1074 449 94 229 0
3 476 369 348 232 1
4 1537 434 79 166 0
5 176 434 332 231 1

17 4 1532402935.662460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402935662460.jpg
396.358314 1127.747324 -1.491337
1 1330 439 156 329 0
2 564 352 404 279 1
3 150 430 359 234 1
4 530 374 429 173 1

18 3 1532402936.162460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402936162460.jpg
396.652432 1125.420208 -1.395714
1 675 323 466 325 1
2 121 424 379 258 1
3 629 370 477 199 1

19 4 1532402936.662460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402936662460.jpg
397.142753 1123.215265 -1.299669
1 491 417 246 141 1
2 790 271 576 421 1
3 114 429 366 264 1
4 753 356 524 225 1

20 4 1532402937.162460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402937162460.jpg
397.804505 1121.221319 -1.200665
1 603 404 258 146 1
2 956 207 635 575 1
3 113 410 366 271 1
4 887 343 613 261 1

21 4 1532402937.662460
../data/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402937662460.jpg
398.689775 1119.262893 -1.091411
