41
1 11 1535657108.301401
1  1  361.904000 648.695000 1.964000 2.749000 8.702000 3.078000 2.833298
2  2  339.449000 659.894000 0.573000 0.558000 0.576000 1.017000 2.811586
3  2  340.580000 661.842000 0.526000 0.467000 0.555000 1.221000 -1.915063
4  2  324.105000 664.423000 0.389000 0.859000 0.644000 1.135000 2.533223
5  1  330.789000 641.074000 1.158000 2.060000 4.512000 1.723000 2.423582
6  1  345.848000 655.799000 1.196000 2.090000 4.795000 2.000000 2.880128
7  1  349.242000 634.568000 1.725000 2.003000 4.204000 1.563000 -2.325547
8  1  301.073000 691.921000 1.008000 3.132000 13.818000 3.606000 -2.235819
9  1  321.096000 668.091000 0.879000 2.111000 4.549000 2.347000 -0.517054
10  1  345.020000 628.332000 1.712000 1.874000 3.885000 1.555000 2.434036
11  1  348.147000 646.209000 1.444000 2.094000 5.567000 1.996000 2.796803

2 11 1535657108.801262
1  1  358.310000 649.885000 1.978000 2.749000 8.702000 3.078000 2.824571
2  2  339.446000 659.895000 0.607000 0.558000 0.576000 1.017000 2.811586
3  2  340.580000 661.842000 0.576000 0.467000 0.555000 1.221000 -1.915063
4  2  324.125000 664.423000 0.395000 0.859000 0.644000 1.135000 2.539349
5  1  330.789000 641.074000 1.212000 2.060000 4.512000 1.723000 2.423582
6  1  343.130000 656.562000 1.180000 2.090000 4.795000 2.000000 2.873927
7  1  349.228000 634.584000 1.748000 2.003000 4.204000 1.563000 -2.325547
8  1  300.166000 690.701000 1.008000 3.132000 13.818000 3.606000 -2.235819
9  1  321.112000 668.116000 0.885000 2.111000 4.549000 2.347000 -0.520038
10  1  345.009000 628.338000 1.780000 1.874000 3.885000 1.555000 2.434036
11  1  348.144000 646.200000 1.482000 2.094000 5.567000 1.996000 2.796803

3 11 1535657109.301132
1  1  354.716000 651.075000 1.992000 2.749000 8.702000 3.078000 2.815844
2  2  339.443000 659.896000 0.640000 0.558000 0.576000 1.017000 2.811586
3  2  340.580000 661.842000 0.626000 0.467000 0.555000 1.221000 -1.915063
4  2  324.145000 664.423000 0.402000 0.859000 0.644000 1.135000 2.545475
5  1  330.789000 641.074000 1.267000 2.060000 4.512000 1.723000 2.423582
6  1  340.412000 657.325000 1.165000 2.090000 4.795000 2.000000 2.867726
7  1  349.213000 634.601000 1.771000 2.003000 4.204000 1.563000 -2.325547
8  1  299.259000 689.481000 1.008000 3.132000 13.818000 3.606000 -2.235819
9  1  321.128000 668.141000 0.891000 2.111000 4.549000 2.347000 -0.523022
10  1  344.999000 628.344000 1.849000 1.874000 3.885000 1.555000 2.434036
11  1  348.140000 646.190000 1.520000 2.094000 5.567000 1.996000 2.796803

4 12 1535657109.801064
12  1  287.863000 668.522000 0.723000 2.380000 5.335000 1.975000 0.917712
1  1  352.208000 651.929000 1.992000 2.749000 8.702000 3.078000 2.815728
2  2  339.440000 659.897000 0.674000 0.558000 0.576000 1.017000 2.811586
3  2  340.580000 661.842000 0.676000 0.467000 0.555000 1.221000 -1.915063
4  2  324.165000 664.423000 0.409000 0.859000 0.644000 1.135000 2.551602
5  1  330.789000 641.074000 1.322000 2.060000 4.512000 1.723000 2.423582
6  1  337.693000 658.088000 1.149000 2.090000 4.795000 2.000000 2.861524
7  1  349.198000 634.618000 1.794000 2.003000 4.204000 1.563000 -2.325547
8  1  298.351000 688.262000 1.008000 3.132000 13.818000 3.606000 -2.235819
9  1  321.143000 668.166000 0.897000 2.111000 4.549000 2.347000 -0.526007
10  1  344.988000 628.350000 1.917000 1.874000 3.885000 1.555000 2.434036
11  1  348.137000 646.181000 1.559000 2.094000 5.567000 1.996000 2.796803

5 12 1535657110.200261
12  1  289.106000 670.134000 0.687000 2.380000 5.335000 1.975000 0.917712
1  1  350.206000 652.612000 1.991000 2.749000 8.702000 3.078000 2.815636
2  2  339.438000 659.898000 0.701000 0.558000 0.576000 1.017000 2.811586
3  2  340.580000 661.842000 0.720000 0.467000 0.555000 1.221000 -1.915063
4  2  324.181000 664.423000 0.415000 0.859000 0.644000 1.135000 2.556494
5  1  330.789000 641.074000 1.366000 2.060000 4.512000 1.723000 2.423582
6  1  335.683000 658.729000 1.133000 2.090000 4.795000 2.000000 2.851967
7  1  349.187000 634.631000 1.812000 2.003000 4.204000 1.563000 -2.325547
8  1  297.627000 687.288000 1.008000 3.132000 13.818000 3.606000 -2.235819
9  1  321.156000 668.186000 0.902000 2.111000 4.549000 2.347000 -0.528390
10  1  344.980000 628.355000 1.911000 1.874000 3.885000 1.555000 2.434036
11  1  348.134000 646.174000 1.589000 2.094000 5.567000 1.996000 2.796803

6 13 1535657110.651414
12  1  290.511000 671.955000 0.702000 2.380000 5.335000 1.975000 0.901990
13  2  317.816000 671.908000 0.410000 0.486000 0.479000 1.312000 -1.827796
1  1  347.944000 653.383000 1.991000 2.749000 8.702000 3.078000 2.815531
2  2  339.435000 659.899000 0.731000 0.558000 0.576000 1.017000 2.811586
3  2  340.580000 661.842000 0.771000 0.467000 0.555000 1.221000 -1.915063
4  2  324.199000 664.423000 0.421000 0.859000 0.644000 1.135000 2.562023
5  1  330.789000 641.074000 1.415000 2.060000 4.512000 1.723000 2.423582
6  1  333.411000 659.453000 1.114000 2.090000 4.795000 2.000000 2.841166
7  1  349.174000 634.646000 1.833000 2.003000 4.204000 1.563000 -2.325547
8  1  296.552000 685.959000 1.008000 3.132000 13.818000 3.606000 -2.235819
9  1  321.170000 668.209000 0.907000 2.111000 4.549000 2.347000 -0.531083
10  1  344.970000 628.361000 1.904000 1.874000 3.885000 1.555000 2.434036
11  1  348.131000 646.165000 1.624000 2.094000 5.567000 1.996000 2.796803

7 13 1535657111.149672
12  1  292.583000 674.718000 0.593000 2.380000 5.335000 1.975000 0.913033
13  2  317.816000 671.908000 0.410000 0.486000 0.479000 1.312000 -1.827796
1  1  345.445000 654.234000 1.990000 2.749000 8.702000 3.078000 2.815415
2  2  339.432000 659.900000 0.765000 0.558000 0.576000 1.017000 2.811586
3  2  340.580000 661.842000 0.826000 0.467000 0.555000 1.221000 -1.915063
4  2  324.220000 664.423000 0.428000 0.859000 0.644000 1.135000 2.568130
5  1  330.789000 641.074000 1.401000 2.060000 4.512000 1.723000 2.423582
6  1  331.176000 660.169000 1.093000 2.090000 4.795000 2.000000 2.829237
7  1  349.159000 634.663000 1.856000 2.003000 4.204000 1.563000 -2.325547
8  1  295.365000 684.492000 1.008000 3.132000 13.818000 3.606000 -2.235819
9  1  321.185000 668.234000 0.913000 2.111000 4.549000 2.347000 -0.534058
10  1  344.960000 628.367000 1.896000 1.874000 3.885000 1.555000 2.434036
11  1  348.128000 646.156000 1.662000 2.094000 5.567000 1.996000 2.796803

8 13 1535657111.649009
12  1  294.660000 677.487000 0.484000 2.380000 5.335000 1.975000 0.924099
13  2  317.816000 671.908000 0.410000 0.486000 0.479000 1.312000 -1.827796
1  1  342.941000 655.088000 1.990000 2.749000 8.702000 3.078000 2.815299
2  2  339.429000 659.901000 0.798000 0.558000 0.576000 1.017000 2.811586
4  2  324.204000 664.453000 0.472000 0.859000 0.644000 1.135000 2.564643
5  1  330.789000 641.074000 1.386000 2.060000 4.512000 1.723000 2.423582
6  1  328.936000 660.886000 1.072000 2.090000 4.795000 2.000000 2.817283
14  2  319.200000 670.062000 0.010000 1.214000 0.504000 0.514000 -1.331686
7  1  349.145000 634.680000 1.879000 2.003000 4.204000 1.563000 -2.325547
8  1  293.995000 682.934000 1.133000 3.132000 13.818000 3.606000 -2.279434
9  1  321.201000 668.259000 0.919000 2.111000 4.549000 2.347000 -0.537039
10  1  344.949000 628.373000 1.888000 1.874000 3.885000 1.555000 2.434036
11  1  348.124000 646.146000 1.700000 2.094000 5.567000 1.996000 2.796803

9 13 1535657112.148325
12  1  296.736000 680.255000 0.376000 2.380000 5.335000 1.975000 0.935165
13  2  317.816000 671.908000 0.448000 0.486000 0.479000 1.312000 -1.827796
1  1  340.436000 655.941000 1.969000 2.749000 8.702000 3.078000 2.815408
2  2  339.426000 659.902000 0.832000 0.558000 0.576000 1.017000 2.811586
4  2  324.189000 664.482000 0.517000 0.859000 0.644000 1.135000 2.561156
5  1  330.789000 641.074000 1.372000 2.060000 4.512000 1.723000 2.423582
6  1  326.899000 661.585000 1.058000 2.090000 4.795000 2.000000 2.811385
14  2  319.200000 670.062000 0.010000 1.214000 0.504000 0.514000 -1.331686
7  1  349.130000 634.696000 1.902000 2.003000 4.204000 1.563000 -2.325547
8  1  292.559000 681.437000 1.258000 3.132000 13.818000 3.606000 -2.323046
9  1  321.217000 668.283000 0.925000 2.111000 4.549000 2.347000 -0.540020
10  1  344.939000 628.379000 1.880000 1.874000 3.885000 1.555000 2.434036
11  1  348.121000 646.137000 1.738000 2.094000 5.567000 1.996000 2.796803

10 14 1535657112.648213
15  1  303.445000 694.527000 -0.388000 2.381000 4.887000 1.518000 -2.286521
16  1  285.557000 666.216000 0.671000 2.121000 4.978000 1.597000 0.886208
12  1  299.047000 683.300000 0.270000 2.380000 5.335000 1.975000 0.930803
13  2  317.816000 671.908000 0.485000 0.486000 0.479000 1.312000 -1.827796
1  1  337.929000 656.796000 1.948000 2.749000 8.702000 3.078000 2.815517
4  2  324.174000 664.512000 0.562000 0.859000 0.644000 1.135000 2.557665
5  1  330.789000 641.074000 1.357000 2.060000 4.512000 1.723000 2.423582
6  1  324.861000 662.284000 1.044000 2.090000 4.795000 2.000000 2.805481
14  2  319.200000 670.062000 0.010000 1.214000 0.504000 0.514000 -1.331686
7  1  349.116000 634.713000 1.925000 2.003000 4.204000 1.563000 -2.325547
8  1  290.768000 680.291000 1.258000 3.132000 13.818000 3.606000 -2.392899
9  1  321.232000 668.308000 0.931000 2.111000 4.549000 2.347000 -0.543004
10  1  344.928000 628.385000 1.873000 1.874000 3.885000 1.555000 2.434036
11  1  348.121000 646.137000 1.782000 2.094000 5.567000 1.996000 2.796803

11 14 1535657113.148632
15  1  301.946000 692.812000 -0.260000 2.381000 4.887000 1.518000 -2.286521
16  1  287.441000 668.418000 0.632000 2.121000 4.978000 1.597000 0.874564
12  1  301.361000 686.347000 0.165000 2.380000 5.335000 1.975000 0.926436
13  2  317.816000 671.908000 0.523000 0.486000 0.479000 1.312000 -1.827796
1  1  335.420000 657.651000 1.926000 2.749000 8.702000 3.078000 2.815626
4  2  324.159000 664.541000 0.606000 0.859000 0.644000 1.135000 2.554171
5  1  330.789000 641.074000 1.367000 2.060000 4.512000 1.723000 2.423582
6  1  323.292000 662.874000 1.030000 2.090000 4.795000 2.000000 2.782104
14  2  319.200000 670.062000 0.047000 1.214000 0.504000 0.514000 -1.331686
7  1  349.101000 634.730000 1.949000 2.003000 4.204000 1.563000 -2.325547
8  1  289.094000 679.294000 1.313000 3.132000 13.818000 3.606000 -2.523867
9  1  321.248000 668.333000 0.937000 2.111000 4.549000 2.347000 -0.545992
10  1  344.918000 628.391000 1.924000 1.874000 3.885000 1.555000 2.434036
11  1  348.121000 646.137000 1.826000 2.094000 5.567000 1.996000 2.796803

